,Etot,Tamb,TambForecast,EtotPeakHour
2016-01-01,1.946,4.464,4.464,21
2016-01-02,2.17,7.61,4.464,12
2016-01-03,1.7969999999999997,9.55,7.61,21
2016-01-04,2.061,8.73,9.55,13
2016-01-05,1.822,8.89,8.73,8
2016-01-06,3.0950000000000006,8.94,8.89,20
2016-01-07,2.208,4.124,8.94,19
2016-01-08,1.824,-0.177,4.124,18
2016-01-09,1.723,1.889,-0.177,21
2016-01-10,1.808,3.902,1.889,9
2016-01-11,3.267,7.69,3.902,14
2016-01-12,3.0329999999999995,10.9,7.69,22
2016-01-13,3.0050000000000003,13.29,10.9,1
2016-01-14,2.18,7.45,13.29,23
2016-01-15,2.988,3.999,7.45,2
2016-01-16,3.083,4.662,3.999,23
2016-01-17,3.1009999999999995,8.0,4.662,4
2016-01-18,3.015,11.01,8.0,20
2016-01-19,1.622,8.8,11.01,6
2016-01-20,3.447,9.37,8.8,18
2016-01-21,3.044,6.422,9.37,22
2016-01-22,3.032,14.43,6.422,2
2016-01-23,3.0820000000000003,15.67,14.43,23
2016-01-24,3.2270000000000003,8.72,15.67,20
2016-01-25,3.1000000000000005,3.939,8.72,21
2016-01-26,3.1800000000000006,8.82,3.939,21
2016-01-27,3.133,13.06,8.82,21
2016-01-28,3.3469999999999995,18.58,13.06,8
2016-01-29,3.1129999999999995,14.83,18.58,19
2016-01-30,1.8520000000000003,18.9,14.83,11
2016-01-31,3.092,2.182,18.9,21
2016-02-01,3.003,-1.517,2.182,1
2016-02-02,3.038,-3.677,-1.517,0
2016-02-03,1.802,-1.428,-3.677,12
2016-02-04,1.829,3.733,-1.428,19
2016-02-05,3.198,5.231,3.733,23
2016-02-06,2.689,11.73,5.231,0
2016-02-07,1.806,6.845,11.73,18
2016-02-08,1.6329999999999998,10.97,6.845,23
2016-02-09,1.703,15.18,10.97,21
2016-02-10,1.6749999999999998,20.03,15.18,21
2016-02-11,1.6999999999999995,18.08,20.03,21
2016-02-12,1.6869999999999996,12.79,18.08,23
2016-02-13,1.6709999999999998,19.32,12.79,22
2016-02-14,1.992,11.46,19.32,20
2016-02-15,2.906,15.21,11.46,20
2016-02-16,3.204,15.35,15.21,21
2016-02-17,2.6530000000000005,19.25,15.35,20
2016-02-18,1.7299999999999995,24.63,19.25,21
2016-02-19,1.7019999999999995,19.47,24.63,0
2016-02-20,1.86,19.25,19.47,22
2016-02-21,1.6609999999999996,10.13,19.25,0
2016-02-22,2.2960000000000003,9.94,10.13,21
2016-02-23,3.2260000000000004,6.062,9.94,21
2016-02-24,1.82,11.79,6.062,21
2016-02-25,3.0709999999999997,12.45,11.79,20
2016-02-26,1.842,19.44,12.45,11
