# data from Adaptive Charging Network API,,,,
# where timeseries charging power is not available assumed constant charge rate,,,,
# covid and charigng station initial startup period removed,,,,
# holidays near-holidays and brief charging interruptions removed with weekday persistence,,,,
# see acn-jpl-cleaning.py,,,,
# power is average over interval in kW,,,,
# scaled to max 25 kW,,,,
# train subset is first 90% of full days,,,,
times_utc-8,times_utc,power_noscale,power,subset
2018-10-09 00:00,2018-10-08 16:00,0,0,train
2018-10-09 00:15,2018-10-08 16:15,0,0,train
2018-10-09 00:30,2018-10-08 16:30,0,0,train
2018-10-09 00:45,2018-10-08 16:45,0,0,train
2018-10-09 01:00,2018-10-08 17:00,0,0,train
2018-10-09 01:15,2018-10-08 17:15,0,0,train
2018-10-09 01:30,2018-10-08 17:30,0,0,train
2018-10-09 01:45,2018-10-08 17:45,0,0,train
2018-10-09 02:00,2018-10-08 18:00,0,0,train
2018-10-09 02:15,2018-10-08 18:15,0,0,train
2018-10-09 02:30,2018-10-08 18:30,0,0,train
2018-10-09 02:45,2018-10-08 18:45,0,0,train
2018-10-09 03:00,2018-10-08 19:00,0,0,train
2018-10-09 03:15,2018-10-08 19:15,0,0,train
2018-10-09 03:30,2018-10-08 19:30,0,0,train
2018-10-09 03:45,2018-10-08 19:45,0,0,train
2018-10-09 04:00,2018-10-08 20:00,0,0,train
2018-10-09 04:15,2018-10-08 20:15,0,0,train
2018-10-09 04:30,2018-10-08 20:30,0,0,train
2018-10-09 04:45,2018-10-08 20:45,0,0,train
2018-10-09 05:00,2018-10-08 21:00,0,0,train
2018-10-09 05:15,2018-10-08 21:15,8.92745098,0.289237086,train
2018-10-09 05:30,2018-10-08 21:30,28.48354259,0.922827455,train
2018-10-09 05:45,2018-10-08 21:45,70.51323086,2.284531328,train
2018-10-09 06:00,2018-10-08 22:00,139.2747882,4.512310853,train
2018-10-09 06:15,2018-10-08 22:15,210.3155011,6.813931872,train
2018-10-09 06:30,2018-10-08 22:30,240.7742217,7.800752367,train
2018-10-09 06:45,2018-10-08 22:45,290.1980474,9.402016085,train
2018-10-09 07:00,2018-10-08 23:00,375.6539855,12.1706705,train
2018-10-09 07:15,2018-10-08 23:15,440.7789963,14.28063094,train
2018-10-09 07:30,2018-10-08 23:30,551.107202,17.85511248,train
2018-10-09 07:45,2018-10-08 23:45,639.6231072,20.7229056,train
2018-10-09 08:00,2018-10-09 00:00,678.9486066,21.99699749,train
2018-10-09 08:15,2018-10-09 00:15,658.6510327,21.33938412,train
2018-10-09 08:30,2018-10-09 00:30,649.6938859,21.04918493,train
2018-10-09 08:45,2018-10-09 00:45,635.330443,20.58382921,train
2018-10-09 09:00,2018-10-09 01:00,648.9333608,21.02454496,train
2018-10-09 09:15,2018-10-09 01:15,628.087049,20.34915324,train
2018-10-09 09:30,2018-10-09 01:30,599.9360353,19.43709926,train
2018-10-09 09:45,2018-10-09 01:45,580.0086748,18.7914803,train
2018-10-09 10:00,2018-10-09 02:00,531.7587535,17.22824946,train
2018-10-09 10:15,2018-10-09 02:15,478.4445575,15.50094312,train
2018-10-09 10:30,2018-10-09 02:30,429.8258013,13.92576254,train
2018-10-09 10:45,2018-10-09 02:45,382.468467,12.39145029,train
2018-10-09 11:00,2018-10-09 03:00,374.9468948,12.14776174,train
2018-10-09 11:15,2018-10-09 03:15,357.7163811,11.58951688,train
2018-10-09 11:30,2018-10-09 03:30,327.9063979,10.62371458,train
2018-10-09 11:45,2018-10-09 03:45,331.6284754,10.74430475,train
2018-10-09 12:00,2018-10-09 04:00,336.3398637,10.89694723,train
2018-10-09 12:15,2018-10-09 04:15,281.3969835,9.116873765,train
2018-10-09 12:30,2018-10-09 04:30,197.1903765,6.388695955,train
2018-10-09 12:45,2018-10-09 04:45,161.7445862,5.240301286,train
2018-10-09 13:00,2018-10-09 05:00,162.2070169,5.255283403,train
2018-10-09 13:15,2018-10-09 05:15,171.4050805,5.553287964,train
2018-10-09 13:30,2018-10-09 05:30,185.181967,5.999640066,train
2018-10-09 13:45,2018-10-09 05:45,149.4997718,4.843586205,train
2018-10-09 14:00,2018-10-09 06:00,133.4265256,4.322835219,train
2018-10-09 14:15,2018-10-09 06:15,135.4747566,4.389195076,train
2018-10-09 14:30,2018-10-09 06:30,135.9957962,4.406076039,train
2018-10-09 14:45,2018-10-09 06:45,116.2603217,3.766673913,train
2018-10-09 15:00,2018-10-09 07:00,96.73634972,3.134124176,train
2018-10-09 15:15,2018-10-09 07:15,122.8549096,3.980329456,train
2018-10-09 15:30,2018-10-09 07:30,134.1540372,4.346405591,train
2018-10-09 15:45,2018-10-09 07:45,137.1939876,4.444895787,train
