,timestamp_forecast_update,predicted_activepower_ev_1,persist
2018-12-10 00:00:00,2018-12-10 00:00:00,0.2785,0.858860195
2018-12-10 00:15:00,2018-12-10 00:00:00,0.30710435,0.0
2018-12-10 00:30:00,2018-12-10 00:00:00,0.5434871,0.0
2018-12-10 00:45:00,2018-12-10 00:00:00,0.59770864,0.0
2018-12-10 01:00:00,2018-12-10 00:00:00,0.5488859,0.0
2018-12-10 01:15:00,2018-12-10 00:00:00,0.44417605,0.0
2018-12-10 01:30:00,2018-12-10 00:00:00,0.31928447,0.0
2018-12-10 01:45:00,2018-12-10 00:00:00,0.19641109,0.0
2018-12-10 02:00:00,2018-12-10 00:00:00,0.08723719,0.0
2018-12-10 02:15:00,2018-12-10 00:00:00,0.0,0.0
2018-12-10 02:30:00,2018-12-10 00:00:00,0.0,0.0
2018-12-10 02:45:00,2018-12-10 00:00:00,0.0,0.0
2018-12-10 03:00:00,2018-12-10 00:00:00,0.0,0.0
2018-12-10 03:15:00,2018-12-10 00:00:00,0.0,0.0
2018-12-10 03:30:00,2018-12-10 00:00:00,0.0,0.0
2018-12-10 03:45:00,2018-12-10 00:00:00,0.0,0.0
2018-12-10 04:00:00,2018-12-10 00:00:00,0.031267192,0.0
2018-12-10 04:15:00,2018-12-10 00:00:00,0.17266372,0.0
2018-12-10 04:30:00,2018-12-10 00:00:00,0.36786216,0.0
2018-12-10 04:45:00,2018-12-10 00:00:00,0.62931657,0.61945098
2018-12-10 05:00:00,2018-12-10 00:00:00,0.97660536,1.006494703
2018-12-10 05:15:00,2018-12-10 00:00:00,1.4409733,1.003495972
2018-12-10 05:30:00,2018-12-10 00:00:00,2.0693665,1.354673295
2018-12-10 05:45:00,2018-12-10 00:00:00,2.9259362,3.053602928
2018-12-10 06:00:00,2018-12-10 00:00:00,4.089667,4.36125058
2018-12-10 06:15:00,2018-12-10 00:00:00,5.6468973,6.425819528
2018-12-10 06:30:00,2018-12-10 00:00:00,7.6729193,8.184805219
2018-12-10 06:45:00,2018-12-10 00:00:00,10.185863,9.897785889
2018-12-10 07:00:00,2018-12-10 00:00:00,13.058774,12.43588422
2018-12-10 07:15:00,2018-12-10 00:00:00,15.947575,19.49260348
2018-12-10 07:30:00,2018-12-10 00:00:00,18.393177,22.25118736
2018-12-10 07:45:00,2018-12-10 00:00:00,20.093834,23.0438545
2018-12-10 08:00:00,2018-12-10 00:00:00,21.043184,22.40673713
2018-12-10 08:15:00,2018-12-10 00:00:00,21.417776,22.28416906
2018-12-10 08:30:00,2018-12-10 00:00:00,21.415226,22.31416413
2018-12-10 08:45:00,2018-12-10 00:00:00,21.177576,22.4220674
2018-12-10 09:00:00,2018-12-10 00:00:00,20.78668,22.53920392
2018-12-10 09:15:00,2018-12-10 00:00:00,20.286537,22.46163472
2018-12-10 09:30:00,2018-12-10 00:00:00,19.705069,21.16038347
2018-12-10 09:45:00,2018-12-10 00:00:00,19.065575,20.33266299
2018-12-10 10:00:00,2018-12-10 00:00:00,18.389149,20.0768031
2018-12-10 10:15:00,2018-12-10 00:00:00,17.69319,19.7450904
2018-12-10 10:30:00,2018-12-10 00:00:00,16.990168,18.45435883
2018-12-10 10:45:00,2018-12-10 00:00:00,16.287912,18.16943295
2018-12-10 11:00:00,2018-12-10 00:00:00,15.590765,17.67645626
2018-12-10 11:15:00,2018-12-10 00:00:00,14.900639,16.36361844
2018-12-10 11:30:00,2018-12-10 00:00:00,14.217569,16.78245879
2018-12-10 11:45:00,2018-12-10 00:00:00,13.540021,16.45823817
2018-12-10 12:00:00,2018-12-10 00:00:00,12.865621,15.33931309
2018-12-10 12:15:00,2018-12-10 00:00:00,12.192657,14.21255917
2018-12-10 12:30:00,2018-12-10 00:00:00,11.522072,14.3844328
2018-12-10 12:45:00,2018-12-10 00:00:00,10.859056,14.02299459
2018-12-10 13:00:00,2018-12-10 00:00:00,10.213376,13.60096747
2018-12-10 13:15:00,2018-12-10 00:00:00,9.598049,13.35475183
2018-12-10 13:30:00,2018-12-10 00:00:00,9.026988,11.60668291
2018-12-10 13:45:00,2018-12-10 00:00:00,8.512441,10.15658069
2018-12-10 14:00:00,2018-12-10 00:00:00,8.063046,9.753695099
2018-12-10 14:15:00,2018-12-10 00:00:00,7.682847,9.232407543
2018-12-10 14:30:00,2018-12-10 00:00:00,7.371089,9.382288776
2018-12-10 14:45:00,2018-12-10 00:00:00,7.1224594,9.778407263
2018-12-10 15:00:00,2018-12-10 00:00:00,6.927348,9.530171471
2018-12-10 15:15:00,2018-12-10 00:00:00,6.7718005,8.467865163
2018-12-10 15:30:00,2018-12-10 00:00:00,6.6371737,7.929758288
2018-12-10 15:45:00,2018-12-10 00:00:00,6.499935,7.600975965
2018-12-10 16:00:00,2018-12-10 00:00:00,6.3324585,7.138232679
2018-12-10 16:15:00,2018-12-10 00:00:00,6.105897,7.379653113
2018-12-10 16:30:00,2018-12-10 00:00:00,5.7955456,7.250419867
2018-12-10 16:45:00,2018-12-10 00:00:00,5.3877983,6.808945037
2018-12-10 17:00:00,2018-12-10 00:00:00,4.8860173,6.399607558
2018-12-10 17:15:00,2018-12-10 00:00:00,4.312083,5.354645753
2018-12-10 17:30:00,2018-12-10 00:00:00,3.701932,3.614593377
2018-12-10 17:45:00,2018-12-10 00:00:00,3.0965264,2.232012983
2018-12-10 18:00:00,2018-12-10 00:00:00,2.5321794,1.142013705
2018-12-10 18:15:00,2018-12-10 00:00:00,2.0341256,0.005912056
2018-12-10 18:30:00,2018-12-10 00:00:00,1.6147578,0.234771798
2018-12-10 18:45:00,2018-12-10 00:00:00,1.2754562,0.515718111
2018-12-10 19:00:00,2018-12-10 00:00:00,1.0100057,0.511926482
2018-12-10 19:15:00,2018-12-10 00:00:00,0.80799395,0.509878532
2018-12-10 19:30:00,2018-12-10 00:00:00,0.6574713,0.508074315
2018-12-10 19:45:00,2018-12-10 00:00:00,0.54671866,0.506316087
2018-12-10 20:00:00,2018-12-10 00:00:00,0.4652718,0.107028627
2018-12-10 20:15:00,2018-12-10 00:00:00,0.40439937,0.0
2018-12-10 20:30:00,2018-12-10 00:00:00,0.35723206,0.0
2018-12-10 20:45:00,2018-12-10 00:00:00,0.31866992,0.0
2018-12-10 21:00:00,2018-12-10 00:00:00,0.28517443,0.0
2018-12-10 21:15:00,2018-12-10 00:00:00,0.2545188,0.0
2018-12-10 21:30:00,2018-12-10 00:00:00,0.22553709,0.0
2018-12-10 21:45:00,2018-12-10 00:00:00,0.1978837,0.0
2018-12-10 22:00:00,2018-12-10 00:00:00,0.17180425,0.0
2018-12-10 22:15:00,2018-12-10 00:00:00,0.14789245,0.0
2018-12-10 22:30:00,2018-12-10 00:00:00,0.12685731,0.408050576
2018-12-10 22:45:00,2018-12-10 00:00:00,0.109278224,0.511036957
2018-12-10 23:00:00,2018-12-10 00:00:00,0.095384374,0.507406876
2018-12-10 23:15:00,2018-12-10 00:00:00,0.08490476,0.510706667
2018-12-10 23:30:00,2018-12-10 00:00:00,0.077051386,0.510758743
2018-12-10 23:45:00,2018-12-10 00:00:00,0.07065674,0.362781464
2018-12-11 00:00:00,2018-12-10 00:00:00,0.06449008,0.007541296
2018-12-11 00:15:00,2018-12-10 00:00:00,0.057658315,0.0
2018-12-11 00:30:00,2018-12-10 00:00:00,0.049984913,0.000257372
2018-12-11 00:45:00,2018-12-10 00:00:00,0.04221256,0.0
2018-12-11 01:00:00,2018-12-10 00:00:00,0.035937265,0.0
2018-12-11 01:15:00,2018-12-10 00:00:00,0.033232283,0.0
2018-12-11 01:30:00,2018-12-10 00:00:00,0.036043014,0.0
2018-12-11 01:45:00,2018-12-10 00:00:00,0.045519736,0.0
2018-12-11 02:00:00,2018-12-10 00:00:00,0.061432127,0.0
2018-12-11 02:15:00,2018-12-10 00:00:00,0.08187107,0.0
2018-12-11 02:30:00,2018-12-10 00:00:00,0.103347376,0.0
2018-12-11 02:45:00,2018-12-10 00:00:00,0.12138405,0.0
2018-12-11 03:00:00,2018-12-10 00:00:00,0.13165109,0.0
2018-12-11 03:15:00,2018-12-10 00:00:00,0.13155046,0.0
2018-12-11 03:30:00,2018-12-10 00:00:00,0.12188831,0.0
2018-12-11 03:45:00,2018-12-10 00:00:00,0.108207904,0.0
2018-12-11 04:00:00,2018-12-10 00:00:00,0.101441,0.0
2018-12-11 04:15:00,2018-12-10 00:00:00,0.11809054,0.0
2018-12-11 04:30:00,2018-12-10 00:00:00,0.18060054,0.0
2018-12-11 04:45:00,2018-12-10 00:00:00,0.31857863,0.0
2018-12-11 05:00:00,2018-12-10 00:00:00,0.5709456,0.749810153
2018-12-11 05:15:00,2018-12-10 00:00:00,0.9880448,0.94263005
2018-12-11 05:30:00,2018-12-10 00:00:00,1.6319362,0.939033485
2018-12-11 05:45:00,2018-12-10 00:00:00,2.573703,1.7858564
2018-12-11 06:00:00,2018-12-10 00:00:00,3.8883393,3.212604525
2018-12-11 06:15:00,2018-12-10 00:00:00,5.647924,5.264528329
2018-12-11 06:30:00,2018-12-10 00:00:00,7.9077177,7.673318803
2018-12-11 06:45:00,2018-12-10 00:00:00,10.667601,10.15181288
2018-12-11 07:00:00,2018-12-10 00:00:00,13.788176,12.48519224
2018-12-11 07:15:00,2018-12-10 00:00:00,16.904493,15.58445006
2018-12-11 07:30:00,2018-12-10 00:00:00,19.51181,15.62578414
2018-12-11 07:45:00,2018-12-10 00:00:00,21.27297,20.07048674
2018-12-11 08:00:00,2018-12-10 00:00:00,22.202747,20.31254706
2018-12-11 08:15:00,2018-12-10 00:00:00,22.528212,21.27612965
2018-12-11 08:30:00,2018-12-10 00:00:00,22.479412,22.46787689
2018-12-11 08:45:00,2018-12-10 00:00:00,22.204853,21.42768972
2018-12-11 09:00:00,2018-12-10 00:00:00,21.778862,20.6403362
2018-12-11 09:15:00,2018-12-10 00:00:00,21.235567,20.21946947
2018-12-11 09:30:00,2018-12-10 00:00:00,20.597178,19.33383548
2018-12-11 09:45:00,2018-12-10 00:00:00,19.887148,18.31664837
2018-12-11 10:00:00,2018-12-10 00:00:00,19.131113,16.83324566
2018-12-11 10:15:00,2018-12-10 00:00:00,18.352787,16.31829545
2018-12-11 10:30:00,2018-12-10 00:00:00,17.57056,16.05924825
2018-12-11 10:45:00,2018-12-10 00:00:00,16.796726,14.79094081
2018-12-11 11:00:00,2018-12-10 00:00:00,16.038593,12.15321498
2018-12-11 11:15:00,2018-12-10 00:00:00,15.299985,11.76863794
2018-12-11 11:30:00,2018-12-10 00:00:00,14.58203,12.21089678
2018-12-11 11:45:00,2018-12-10 00:00:00,13.883326,11.61368062
2018-12-10 01:00:00,2018-12-10 01:00:00,0.0,0.0
2018-12-10 01:15:00,2018-12-10 01:00:00,0.0,0.0
2018-12-10 01:30:00,2018-12-10 01:00:00,0.24051815,0.0
2018-12-10 01:45:00,2018-12-10 01:00:00,0.3478685,0.0
2018-12-10 02:00:00,2018-12-10 01:00:00,0.32266423,0.0
2018-12-10 02:15:00,2018-12-10 01:00:00,0.2391352,0.0
2018-12-10 02:30:00,2018-12-10 01:00:00,0.1431947,0.0
2018-12-10 02:45:00,2018-12-10 01:00:00,0.06104837,0.0
2018-12-10 03:00:00,2018-12-10 01:00:00,0.0066521987,0.0
2018-12-10 03:15:00,2018-12-10 01:00:00,0.0,0.0
2018-12-10 03:30:00,2018-12-10 01:00:00,0.0070348093,0.0
2018-12-10 03:45:00,2018-12-10 01:00:00,0.06885614,0.0
2018-12-10 04:00:00,2018-12-10 01:00:00,0.17565931,0.0
2018-12-10 04:15:00,2018-12-10 01:00:00,0.33183518,0.0
2018-12-10 04:30:00,2018-12-10 01:00:00,0.5461072,0.0
2018-12-10 04:45:00,2018-12-10 01:00:00,0.83609736,0.61945098
2018-12-10 05:00:00,2018-12-10 01:00:00,1.2336959,1.006494703
2018-12-10 05:15:00,2018-12-10 01:00:00,1.7890451,1.003495972
2018-12-10 05:30:00,2018-12-10 01:00:00,2.570914,1.354673295
2018-12-10 05:45:00,2018-12-10 01:00:00,3.6628072,3.053602928
2018-12-10 06:00:00,2018-12-10 01:00:00,5.1558027,4.36125058
2018-12-10 06:15:00,2018-12-10 01:00:00,7.1355023,6.425819528
2018-12-10 06:30:00,2018-12-10 01:00:00,9.646583,8.184805219
2018-12-10 06:45:00,2018-12-10 01:00:00,12.605818,9.897785889
2018-12-10 07:00:00,2018-12-10 01:00:00,15.690571,12.43588422
2018-12-10 07:15:00,2018-12-10 01:00:00,18.386688,19.49260348
2018-12-10 07:30:00,2018-12-10 01:00:00,20.296501,22.25118736
2018-12-10 07:45:00,2018-12-10 01:00:00,21.367304,23.0438545
2018-12-10 08:00:00,2018-12-10 01:00:00,21.79131,22.40673713
2018-12-10 08:15:00,2018-12-10 01:00:00,21.801432,22.28416906
2018-12-10 08:30:00,2018-12-10 01:00:00,21.566206,22.31416413
2018-12-10 08:45:00,2018-12-10 01:00:00,21.178795,22.4220674
2018-12-10 09:00:00,2018-12-10 01:00:00,20.68369,22.53920392
2018-12-10 09:15:00,2018-12-10 01:00:00,20.105331,22.46163472
2018-12-10 09:30:00,2018-12-10 01:00:00,19.464346,21.16038347
2018-12-10 09:45:00,2018-12-10 01:00:00,18.78134,20.33266299
2018-12-10 10:00:00,2018-12-10 01:00:00,18.074646,20.0768031
2018-12-10 10:15:00,2018-12-10 01:00:00,17.357988,19.7450904
2018-12-10 10:30:00,2018-12-10 01:00:00,16.640232,18.45435883
2018-12-10 10:45:00,2018-12-10 01:00:00,15.926589,18.16943295
2018-12-10 11:00:00,2018-12-10 01:00:00,15.21985,17.67645626
2018-12-10 11:15:00,2018-12-10 01:00:00,14.521035,16.36361844
2018-12-10 11:30:00,2018-12-10 01:00:00,13.82951,16.78245879
2018-12-10 11:45:00,2018-12-10 01:00:00,13.14328,16.45823817
2018-12-10 12:00:00,2018-12-10 01:00:00,12.460155,15.33931309
2018-12-10 12:15:00,2018-12-10 01:00:00,11.779722,14.21255917
2018-12-10 12:30:00,2018-12-10 01:00:00,11.105386,14.3844328
2018-12-10 12:45:00,2018-12-10 01:00:00,10.445347,14.02299459
2018-12-10 13:00:00,2018-12-10 01:00:00,9.811856,13.60096747
2018-12-10 13:15:00,2018-12-10 01:00:00,9.219035,13.35475183
2018-12-10 13:30:00,2018-12-10 01:00:00,8.680161,11.60668291
2018-12-10 13:45:00,2018-12-10 01:00:00,8.205375,10.15658069
2018-12-10 14:00:00,2018-12-10 01:00:00,7.800325,9.753695099
2018-12-10 14:15:00,2018-12-10 01:00:00,7.4657707,9.232407543
2018-12-10 14:30:00,2018-12-10 01:00:00,7.1977844,9.382288776
2018-12-10 14:45:00,2018-12-10 01:00:00,6.9881296,9.778407263
2018-12-10 15:00:00,2018-12-10 01:00:00,6.824381,9.530171471
2018-12-10 15:15:00,2018-12-10 01:00:00,6.689656,8.467865163
2018-12-10 15:30:00,2018-12-10 01:00:00,6.5621843,7.929758288
2018-12-10 15:45:00,2018-12-10 01:00:00,6.415449,7.600975965
2018-12-10 16:00:00,2018-12-10 01:00:00,6.2200212,7.138232679
2018-12-10 16:15:00,2018-12-10 01:00:00,5.947993,7.379653113
2018-12-10 16:30:00,2018-12-10 01:00:00,5.579758,7.250419867
2018-12-10 16:45:00,2018-12-10 01:00:00,5.111121,6.808945037
2018-12-10 17:00:00,2018-12-10 01:00:00,4.557188,6.399607558
2018-12-10 17:15:00,2018-12-10 01:00:00,3.950299,5.354645753
2018-12-10 17:30:00,2018-12-10 01:00:00,3.332017,3.614593377
2018-12-10 17:45:00,2018-12-10 01:00:00,2.742636,2.232012983
2018-12-10 18:00:00,2018-12-10 01:00:00,2.212799,1.142013705
2018-12-10 18:15:00,2018-12-10 01:00:00,1.7598904,0.005912056
2018-12-10 18:30:00,2018-12-10 01:00:00,1.3888863,0.234771798
2018-12-10 18:45:00,2018-12-10 01:00:00,1.0956285,0.515718111
2018-12-10 19:00:00,2018-12-10 01:00:00,0.8705376,0.511926482
2018-12-10 19:15:00,2018-12-10 01:00:00,0.7016871,0.509878532
2018-12-10 19:30:00,2018-12-10 01:00:00,0.5769278,0.508074315
2018-12-10 19:45:00,2018-12-10 01:00:00,0.48516506,0.506316087
2018-12-10 20:00:00,2018-12-10 01:00:00,0.41698655,0.107028627
2018-12-10 20:15:00,2018-12-10 01:00:00,0.36488008,0.0
2018-12-10 20:30:00,2018-12-10 01:00:00,0.32318282,0.0
2018-12-10 20:45:00,2018-12-10 01:00:00,0.2878925,0.0
2018-12-10 21:00:00,2018-12-10 01:00:00,0.25641546,0.0
2018-12-10 21:15:00,2018-12-10 01:00:00,0.2273038,0.0
2018-12-10 21:30:00,2018-12-10 01:00:00,0.19999453,0.0
2018-12-10 21:45:00,2018-12-10 01:00:00,0.17457315,0.0
2018-12-10 22:00:00,2018-12-10 01:00:00,0.15151455,0.0
2018-12-10 22:15:00,2018-12-10 01:00:00,0.13143653,0.0
2018-12-10 22:30:00,2018-12-10 01:00:00,0.11485228,0.408050576
2018-12-10 22:45:00,2018-12-10 01:00:00,0.10195412,0.511036957
2018-12-10 23:00:00,2018-12-10 01:00:00,0.09244838,0.507406876
2018-12-10 23:15:00,2018-12-10 01:00:00,0.0855334,0.510706667
2018-12-10 23:30:00,2018-12-10 01:00:00,0.0800183,0.510758743
2018-12-10 23:45:00,2018-12-10 01:00:00,0.07460396,0.362781464
2018-12-11 00:00:00,2018-12-10 01:00:00,0.06827553,0.007541296
2018-12-11 00:15:00,2018-12-10 01:00:00,0.060677383,0.0
2018-12-11 00:30:00,2018-12-10 01:00:00,0.052348565,0.000257372
2018-12-11 00:45:00,2018-12-10 01:00:00,0.04470576,0.0
2018-12-11 01:00:00,2018-12-10 01:00:00,0.03973487,0.0
2018-12-11 01:15:00,2018-12-10 01:00:00,0.039437827,0.0
2018-12-11 01:30:00,2018-12-10 01:00:00,0.045182783,0.0
2018-12-11 01:45:00,2018-12-10 01:00:00,0.05710888,0.0
2018-12-11 02:00:00,2018-12-10 01:00:00,0.07375972,0.0
2018-12-11 02:15:00,2018-12-10 01:00:00,0.09210002,0.0
2018-12-11 02:30:00,2018-12-10 01:00:00,0.107995465,0.0
2018-12-11 02:45:00,2018-12-10 01:00:00,0.11721471,0.0
2018-12-11 03:00:00,2018-12-10 01:00:00,0.11690892,0.0
