,units,n_back,n_dense,dropout,vloss,test_mae_pers,test_mae_pred,test_skill,frac_0_mae_pers
11,144,96,36,0.1,0.050905898,0.04557497,0.038289093,0.159865737,0
131,432,72,36,0,0.057660442,0.04557497,0.038836794,0.147848174,0
3,72,288,24,0,0.061439309,0.04557497,0.039164573,0.140656076,0
100,144,72,36,0.1,0.06013339,0.04557497,0.039333516,0.136949164,0
22,480,96,24,0,0.051925991,0.04557497,0.039454881,0.13428618,0
36,480,96,24,0.1,0.055993736,0.04557497,0.039517772,0.132906239,0
118,336,48,24,0,0.05879866,0.04557497,0.039611147,0.130857417,0
134,192,480,24,0,0.054922432,0.04557497,0.039635658,0.130319595,0
115,192,288,36,0.1,0.060500927,0.04557497,0.039688737,0.129154951,0
76,336,120,24,0.1,0.06708926,0.04557497,0.040691984,0.107141837,0
133,240,96,24,0.1,0.061288815,0.04557497,0.040705147,0.106853006,0
132,240,240,36,0.1,0.059764888,0.04557497,0.040718977,0.106549553,0
129,48,72,36,0.1,0.06067111,0.04557497,0.040758906,0.105673432,0
82,120,24,36,0.1,0.063099571,0.04557497,0.040803545,0.104693964,0
104,96,72,36,0,0.066284403,0.04557497,0.040921298,0.102110243,0
86,480,72,24,0,0.060762934,0.04557497,0.041204351,0.095899549,0
26,432,480,24,0,0.06491939,0.04557497,0.041227753,0.09538605,0
117,288,144,24,0,0.058783092,0.04557497,0.041236976,0.09518368,0
124,96,480,24,0.1,0.057269439,0.04557497,0.041244552,0.095017464,0
96,240,336,24,0,0.065556034,0.04557497,0.041417468,0.091223349,0
69,432,48,24,0,0.065533854,0.04557497,0.041460082,0.090288315,0
62,72,240,24,0,0.076393351,0.04557497,0.041488354,0.089667989,0
64,384,72,36,0,0.060854703,0.04557497,0.04155658,0.088170973,0
116,480,144,36,0,0.063424952,0.04557497,0.041757971,0.083752091,0
140,192,72,24,0.1,0.061816469,0.04557497,0.041811839,0.08257011,0
16,120,120,36,0,0.055780835,0.04557497,0.041816599,0.082465676,0
4,24,96,36,0.1,0.060708128,0.04557497,0.041889388,0.080868547,0
53,120,24,24,0,0.065136865,0.04557497,0.041928403,0.080012479,0
146,336,144,36,0.1,0.058164403,0.04557497,0.042038896,0.077588056,0
52,384,432,36,0.1,0.064680539,0.04557497,0.042097216,0.07630841,0
31,432,432,36,0.1,0.074701384,0.04557497,0.042150999,0.07512831,0
48,288,240,24,0,0.070237435,0.04557497,0.042168699,0.074739949,0
79,336,144,24,0,0.056475569,0.04557497,0.042235823,0.073267119,0
12,72,72,24,0,0.064588651,0.04557497,0.042294448,0.071980779,0
51,480,192,36,0,0.066646844,0.04557497,0.042328978,0.071223116,0
108,384,96,36,0,0.061722141,0.04557497,0.042364567,0.070442242,0
138,96,384,24,0,0.072367616,0.04557497,0.042406321,0.069526073,0
107,96,96,24,0,0.062043808,0.04557497,0.042473441,0.068053328,0
19,384,384,24,0.1,0.063349463,0.04557497,0.042534098,0.066722414,0
24,96,72,24,0.1,0.062675193,0.04557497,0.042563076,0.066086576,0
34,72,432,36,0.1,0.061627027,0.04557497,0.042686498,0.063378455,0
78,288,72,24,0.1,0.061571043,0.04557497,0.042726972,0.062490381,0
128,240,144,24,0.1,0.069267653,0.04557497,0.042829974,0.060230331,0
72,288,144,36,0,0.063353203,0.04557497,0.042875716,0.059226677,0
18,384,96,24,0,0.071480982,0.04557497,0.042895997,0.058781672,0
