,units,n_back,n_dense,dropout,vloss,test_mae_pers,test_mae_pred,test_skill,frac_0_mae_pers
0,144,96,36,0.1,0.0510605052113533,0.04557496955470568,0.041274417760166424,0.09436214300433288,0.0
1,432,72,36,0.0,0.058262430131435394,0.04557496955470568,0.04433748767061976,0.027152665074202886,0.0
2,72,288,24,0.0,0.052144765853881836,0.04557496955470568,0.04234295282363695,0.07091648689285879,0.0
3,144,72,36,0.1,0.05180488899350166,0.04557496955470568,0.03900396339016322,0.14418015478112356,0.0
4,480,96,24,0.0,0.055147286504507065,0.04557496955470568,0.03936135200995411,0.13633838059492465,0.0
5,480,96,24,0.1,0.06154530495405197,0.04557496955470568,0.042215756763137754,0.07370740615713867,0.0
6,336,48,24,0.0,0.05613928288221359,0.04557496955470568,0.04107099728531804,0.09882556836338241,0.0
7,192,480,24,0.0,0.04335097223520279,0.04557496955470568,0.03780698484775593,0.1704441008485038,0.0
8,192,288,36,0.1,0.05382735654711723,0.04557496955470568,0.04081157546099985,0.1045177679820084,0.0
9,336,120,24,0.1,0.06089578568935394,0.04557496955470568,0.043623537860288074,0.042818058102599754,0.0
10,240,96,24,0.1,0.056018371134996414,0.04557496955470568,0.04211293698111792,0.07596346431854717,0.0
11,240,240,36,0.1,0.051999110728502274,0.04557496955470568,0.039818486120241005,0.12630800394841535,0.0
12,48,72,36,0.1,0.05929066240787506,0.04557496955470568,0.043085954029274835,0.05461365196181134,0.0
13,120,24,36,0.1,0.061866290867328644,0.04557496955470568,0.04223898358653147,0.07319776624688412,0.0
14,96,72,36,0.0,0.05928565934300423,0.04557496955470568,0.041665495819120664,0.0857811595659389,0.0
15,480,72,24,0.0,0.060608118772506714,0.04557496955470568,0.040827268372294855,0.10417343618215569,0.0
16,432,480,24,0.0,0.05088692530989647,0.04557496955470568,0.04224586954294403,0.07304667549510002,0.0
17,288,144,24,0.0,0.06260804831981659,0.04557496955470568,0.041994841456395614,0.07855470082130667,0.0
18,96,480,24,0.1,0.04071110486984253,0.04557496955470568,0.04036862610080614,0.11423690470380088,0.0
19,240,336,24,0.0,0.051647525280714035,0.04557496955470568,0.044843775530297426,0.01604376331026547,0.0
20,432,48,24,0.0,0.05817345902323723,0.04557496955470568,0.04037248249664489,0.11415228817248047,0.0
21,72,240,24,0.0,0.05468031391501427,0.04557496955470568,0.04225773216793933,0.07278638733448894,0.0
22,384,72,36,0.0,0.052740443497896194,0.04557496955470568,0.03919327379276126,0.1400263307753652,0.0
23,480,144,36,0.0,0.05603479593992233,0.04557496955470568,0.04077742657393089,0.1052670583798434,0.0
24,192,72,24,0.1,0.05754615366458893,0.04557496955470568,0.04028066455862233,0.11616694531695426,0.0
25,120,120,36,0.0,0.06163271516561508,0.04557496955470568,0.04173912412368533,0.08416561697130731,0.0
26,24,96,36,0.1,0.06008453667163849,0.04557496955470568,0.04479365834941631,0.0171434279149989,0.0
27,120,24,24,0.0,0.0673040822148323,0.04557496955470568,0.04306846516692259,0.0549973902840335,0.0
28,336,144,36,0.1,0.04904542863368988,0.04557496955470568,0.03817590851147406,0.16234922624249248,0.0
29,384,432,36,0.1,0.04887693002820015,0.04557496955470568,0.0384557412035974,0.15620917404152623,0.0
30,432,432,36,0.1,0.045406781136989594,0.04557496955470568,0.03931308178348249,0.13739751956842816,0.0
31,288,240,24,0.0,0.05139488726854324,0.04557496955470568,0.03886548244279182,0.14721868555194895,0.0
32,336,144,24,0.0,0.0552549883723259,0.04557496955470568,0.038503238559408015,0.15516699329462302,0.0
33,72,72,24,0.0,0.06377081573009491,0.04557496955470568,0.044244382739674945,0.029195561248451685,0.0
34,480,192,36,0.0,0.053805701434612274,0.04557496955470568,0.0396873646092043,0.1291850549331519,0.0
35,384,96,36,0.0,0.05494768172502518,0.04557496955470568,0.03994823403022779,0.12346109233762326,0.0
36,96,384,24,0.0,0.051945462822914124,0.04557496955470568,0.04125176556466899,0.09485917450471038,0.0
37,96,96,24,0.0,0.061358291655778885,0.04557496955470568,0.04209512421497995,0.07635430969512147,0.0
38,384,384,24,0.1,0.051904838532209396,0.04557496955470568,0.04117972153944954,0.09643995504989467,0.0
39,96,72,24,0.1,0.05478993058204651,0.04557496955470568,0.042008114156454945,0.07826347297872083,0.0
