,units,n_back,dropout,vloss,sec_elaps
292,768,48,0.1,0.016467276960611343,224
246,12,24,0.0,0.014435428194701672,68
159,192,864,0.2,0.014246106147766113,339
6,12,12,0.0,0.014192691072821617,93
215,48,12,0.1,0.014019343070685863,48
142,12,12,0.2,0.013908889144659042,67
71,384,672,0.1,0.013906445354223251,359
291,576,288,0.0,0.013362373225390911,295
114,624,624,0.1,0.013158592395484447,511
66,480,288,0.2,0.013130949810147285,266
274,24,12,0.1,0.012880655005574226,67
130,624,24,0.1,0.012863882817327976,148
65,768,288,0.0,0.012855235487222672,391
23,336,768,0.1,0.01281232014298439,380
96,288,48,0.0,0.012599749490618706,86
73,120,48,0.1,0.012465432286262512,64
146,528,48,0.1,0.012366063892841339,141
169,624,12,0.2,0.012278893031179905,212
238,432,12,0.2,0.0122733348980546,186
178,720,720,0.2,0.012217328883707523,651
84,576,192,0.0,0.01219995692372322,242
158,864,12,0.1,0.012037712149322033,368
226,864,864,0.0,0.012013888917863369,3725
235,192,192,0.2,0.011984997428953648,125
192,192,24,0.2,0.01197084877640009,110
244,144,12,0.1,0.011963390745222569,102
222,528,48,0.2,0.011932270601391792,148
116,288,12,0.0,0.011897725984454155,111
255,864,864,0.1,0.011852063238620758,1415
154,720,48,0.1,0.011741245165467262,416
212,12,48,0.1,0.01171932928264141,71
62,384,624,0.1,0.011708313599228859,504
210,12,624,0.2,0.011705709621310234,200
97,288,48,0.1,0.011630880646407604,89
258,12,768,0.0,0.011610284447669983,230
82,864,192,0.2,0.011580102145671844,404
281,864,48,0.1,0.011566473171114922,285
280,864,12,0.0,0.011539110913872719,362
194,624,192,0.0,0.011533118784427643,267
129,192,864,0.0,0.011496002785861492,475
257,24,192,0.0,0.011488580144941807,104
106,24,24,0.1,0.011386550031602383,70
112,672,96,0.1,0.011332477442920208,226
13,120,12,0.1,0.011324136517941952,87
40,480,672,0.1,0.011203110218048096,459
138,480,120,0.0,0.011198134161531925,267
221,768,96,0.1,0.011191625148057938,383
189,528,72,0.0,0.011174129322171211,252
48,336,120,0.2,0.011125979945063591,124
218,864,72,0.0,0.0111189940944314,606
191,72,192,0.1,0.011110527440905571,122
160,24,864,0.0,0.0111013762652874,182
278,336,384,0.2,0.011019186116755009,342
14,48,12,0.0,0.011015250347554684,92
94,12,864,0.2,0.010995562188327312,326
80,144,96,0.1,0.010990723967552185,90
35,288,672,0.0,0.010975264944136143,315
103,120,96,0.1,0.010965663008391857,109
269,96,12,0.0,0.010965093970298767,151
265,96,48,0.0,0.010953607968986034,59
124,624,12,0.1,0.01092291995882988,350
76,432,12,0.0,0.01089156698435545,139
140,720,12,0.2,0.010889362543821335,327
282,768,720,0.1,0.010844981297850609,1355
99,480,432,0.1,0.01082507986575365,334
8,24,24,0.2,0.01080386620014906,94
163,720,48,0.0,0.010771691799163818,314
26,480,672,0.2,0.010763746686279774,678
216,72,48,0.1,0.01072323601692915,85
29,384,12,0.2,0.01069613453000784,134
242,336,672,0.0,0.010644526220858097,491
231,480,120,0.2,0.010615737177431583,184
92,288,120,0.0,0.010530445724725723,162
256,96,48,0.1,0.010527891106903553,61
141,576,768,0.1,0.010508736595511436,538
79,240,576,0.1,0.010470740497112274,347
17,768,336,0.1,0.010460618883371353,438
144,768,192,0.1,0.010452882386744022,639
50,480,768,0.1,0.010441318154335022,723
219,480,144,0.2,0.010435733012855053,197
236,96,720,0.0,0.010424554347991943,205
243,120,24,0.2,0.010394275188446045,86
128,432,672,0.0,0.010391203686594963,954
195,240,192,0.2,0.010387328453361988,249
185,24,672,0.2,0.010363239794969559,210
188,24,48,0.1,0.010355175472795963,74
111,240,672,0.2,0.010348811745643616,394
67,288,120,0.2,0.010297421365976334,112
44,288,72,0.2,0.010290782898664474,145
2,624,336,0.0,0.01027446985244751,533
127,12,288,0.2,0.01022827997803688,159
105,144,192,0.2,0.01020527072250843,118
77,24,672,0.1,0.010181533172726631,145
59,72,24,0.1,0.010167037136852741,103
209,624,768,0.1,0.010148203000426292,591
248,384,768,0.2,0.01014083344489336,397
90,192,240,0.1,0.010115419514477253,203
220,624,864,0.2,0.010114016942679882,948
252,672,120,0.0,0.010093745775520802,361
145,72,144,0.2,0.01007193885743618,146
93,96,96,0.2,0.010036462917923927,97
64,576,72,0.1,0.010005639865994453,265
229,288,24,0.1,0.009977450594305992,157
21,528,768,0.2,0.009973706677556038,545
288,480,192,0.0,0.009966915473341942,219
271,672,672,0.2,0.009966538287699223,583
53,720,240,0.0,0.009845660999417305,834
43,144,72,0.2,0.00983825046569109,172
0,768,72,0.1,0.009821943938732147,369
203,432,72,0.1,0.009810895659029484,184
272,48,720,0.0,0.009810207411646843,323
101,384,24,0.2,0.009803781285881996,136
170,288,144,0.2,0.009789710864424706,120
54,576,96,0.0,0.009763561189174652,466
172,720,576,0.2,0.009763495065271854,608
83,720,432,0.1,0.009745931252837181,463
161,624,96,0.2,0.009733657352626324,217
39,768,24,0.2,0.009729319252073765,301
289,144,24,0.0,0.009703922085464,243
227,624,24,0.0,0.009690964594483376,301
168,48,96,0.0,0.009633269160985947,84
251,624,48,0.2,0.009611050598323345,261
207,24,72,0.2,0.009600382298231125,108
38,672,96,0.2,0.00959760695695877,462
113,672,672,0.1,0.009586120024323463,1135
149,288,528,0.1,0.009542434476315975,245
46,720,432,0.0,0.009503194130957127,916
167,24,336,0.0,0.009501543827354908,133
34,12,96,0.2,0.009485471062362194,215
183,48,768,0.0,0.009469140321016312,181
7,336,768,0.0,0.009463910013437271,556
177,24,720,0.2,0.009463557042181492,154
69,96,120,0.0,0.009455543011426926,104
175,528,240,0.1,0.0094550009816885,263
104,96,72,0.1,0.009423505514860153,121
266,48,672,0.0,0.009406868368387222,231
213,240,192,0.1,0.009405055083334446,130
241,12,672,0.1,0.009386091493070126,271
298,480,24,0.0,0.009384145960211754,285
264,624,720,0.2,0.009374449029564857,836
173,576,72,0.0,0.009370011277496815,180
9,240,48,0.0,0.009369892999529839,171
206,624,384,0.0,0.009351340122520924,377
197,720,144,0.1,0.0093463696539402,547
217,480,288,0.0,0.009276868775486946,265
187,48,120,0.2,0.009270071052014828,177
184,624,120,0.2,0.009260493330657482,332
247,120,192,0.1,0.009256347082555294,96
55,192,432,0.0,0.009241257794201374,196
214,672,120,0.1,0.009206259623169899,241
126,12,768,0.1,0.009197678416967392,294
25,576,240,0.1,0.009196814149618149,278
152,24,672,0.0,0.00918872281908989,142
225,72,672,0.1,0.009185698814690113,263
133,624,576,0.2,0.009173085913062096,1255
157,864,432,0.2,0.009144025854766369,603
68,864,120,0.2,0.009142144583165646,346
118,336,240,0.1,0.009102263487875462,175
156,336,768,0.2,0.009099242277443409,558
125,624,480,0.0,0.009097829461097717,447
190,144,432,0.1,0.009095287881791592,186
198,120,120,0.2,0.009085341356694698,79
180,120,384,0.0,0.009076482616364956,277
176,624,432,0.2,0.009057309478521347,405
284,240,864,0.2,0.00904795154929161,631
276,12,768,0.2,0.009018105454742908,232
260,24,480,0.1,0.009009094908833504,118
148,240,288,0.0,0.008978709578514099,165
139,864,528,0.2,0.008967945352196693,675
164,48,240,0.0,0.008967246860265732,120
115,96,768,0.1,0.008962946012616158,212
267,864,576,0.1,0.008958783932030201,773
22,768,768,0.0,0.00895843654870987,1819
30,768,384,0.0,0.008951043710112572,930
155,24,120,0.0,0.008906982839107513,89
41,768,144,0.1,0.00890004076063633,597
72,720,576,0.0,0.00889318622648716,895
181,288,384,0.0,0.008878667838871479,301
36,120,48,0.0,0.008834999985992908,189
223,576,768,0.2,0.008821631781756878,801
28,432,96,0.2,0.00877776276320219,279
74,288,576,0.1,0.008776295930147171,260
85,288,240,0.2,0.008762202225625515,224
285,480,720,0.0,0.008760837838053703,470
268,768,432,0.0,0.00874447450041771,1032
205,120,672,0.2,0.008728804998099804,311
196,120,72,0.1,0.008711039088666439,194
240,48,336,0.1,0.008691524155437946,187
239,576,864,0.2,0.00867556780576706,1154
263,864,384,0.1,0.008675160817801952,838
293,96,288,0.1,0.008663127198815346,113
119,192,384,0.0,0.00865305494517088,182
208,528,480,0.2,0.008647549897432327,574
232,72,240,0.0,0.00863942876458168,139
273,192,72,0.2,0.00862935557961464,175
75,624,240,0.1,0.008621590211987495,576
290,336,576,0.2,0.008617864921689034,437
86,672,144,0.2,0.008600535802543163,257
87,624,336,0.1,0.008587540127336979,348
98,120,432,0.0,0.008559782058000565,157
165,48,120,0.1,0.008559024892747402,91
286,480,768,0.2,0.008555888198316097,964
33,24,480,0.0,0.0085502490401268,223
151,384,528,0.2,0.008526559919118881,590
135,384,672,0.0,0.008511412888765335,692
1,672,768,0.2,0.00850171223282814,1300
100,480,240,0.0,0.008495270274579525,358
61,864,672,0.1,0.008491044864058495,1569
42,384,672,0.2,0.008487893268465996,45309
153,72,576,0.1,0.008474591188132763,283
237,144,288,0.1,0.008459917269647121,212
234,72,72,0.0,0.008454034104943275,92
224,144,624,0.0,0.008448048494756222,345
57,864,480,0.1,0.008444069884717464,638
31,624,720,0.1,0.008442679420113564,1132
186,624,480,0.2,0.00843858439475298,432
52,432,288,0.1,0.008432608097791672,457
63,96,720,0.1,0.008410977199673653,290
262,336,432,0.0,0.008403311483561993,368
150,864,288,0.2,0.00837643537670374,715
11,528,384,0.2,0.00836408231407404,514
166,240,96,0.1,0.008351976983249187,242
47,336,720,0.0,0.00833834521472454,353
32,72,480,0.0,0.008327395655214787,151
295,48,528,0.0,0.008313330821692944,139
