,units,n_back,dropout,vloss,sec_elaps
211,624,624,0.2,0.0007400966132991016,392
207,384,528,0.2,0.0006714077317155898,236
52,288,384,0.0,0.0006453411770053208,150
194,24,480,0.0,0.0006258189678192139,100
106,288,48,0.0,0.0006255568005144596,40
133,48,576,0.1,0.0005753968725912273,117
323,72,864,0.2,0.0005351811414584517,184
258,864,624,0.0,0.0005345609388314188,549
234,72,192,0.0,0.0005293970461934805,66
53,12,864,0.1,0.0005288116517476737,206
344,720,432,0.0,0.000505413394421339,323
305,96,672,0.1,0.0004988277214579284,158
68,480,480,0.0,0.0004940181970596313,372
85,96,576,0.1,0.00048782594967633486,130
131,48,192,0.1,0.0004822913324460387,53
18,120,192,0.2,0.0004799280141014,94
257,336,48,0.1,0.00047814063145779073,43
271,528,672,0.0,0.0004766552592627704,565
191,12,768,0.1,0.0004719067655969411,194
73,480,336,0.2,0.00046838721027597785,184
66,12,720,0.0,0.0004661112034227699,226
149,240,528,0.0,0.00046441852464340627,190
164,720,336,0.1,0.0004600605461746454,256
220,624,192,0.0,0.0004589406307786703,141
91,72,12,0.1,0.0004550604207906872,38
62,624,72,0.1,0.0004536569176707417,71
209,432,72,0.2,0.0004481422947719693,57
102,240,12,0.1,0.00044667936163023114,34
342,72,24,0.0,0.0004404930805321783,55
118,480,864,0.2,0.00043604799429886043,633
190,624,768,0.1,0.00043561699567362666,470
216,288,24,0.0,0.0004354413540568203,36
78,768,96,0.0,0.0004353549738880247,104
373,672,864,0.0,0.0004327143542468548,618
291,384,24,0.2,0.0004316925478633493,35
314,120,96,0.1,0.00042805675184354186,44
368,480,528,0.2,0.00042782785021699965,317
317,672,432,0.2,0.0004252564103808254,302
219,12,24,0.1,0.0004235270316712558,75
25,144,528,0.1,0.0004228213510941,174
264,336,336,0.0,0.00042150274384766817,151
329,96,240,0.2,0.0004204745346214622,74
297,768,576,0.2,0.0004197857924737036,441
179,192,24,0.1,0.000418696814449504,53
312,72,720,0.1,0.0004168013110756874,280
19,576,384,0.0,0.0004154789785388,232
0,24,120,0.2,0.0004137305368203,67
132,24,624,0.1,0.00041366394725628197,165
59,672,720,0.2,0.0004129620501771569,501
199,192,384,0.1,0.00041294697439298034,152
165,12,48,0.1,0.0004125300911255181,74
27,192,240,0.2,0.0004120010125916,97
129,384,72,0.0,0.0004084149841219187,53
98,12,336,0.2,0.00040634340257383883,166
189,576,768,0.2,0.00040609537973068655,434
42,120,240,0.1,0.0004051324212923646,75
307,24,48,0.2,0.00039690127596259117,57
38,720,96,0.2,0.00039667621604166925,143
330,384,48,0.0,0.00039558406569994986,45
274,120,72,0.2,0.00039515295065939426,58
71,120,240,0.0,0.0003948418016079813,75
45,240,12,0.2,0.00039395911153405905,34
225,864,480,0.0,0.00039313689921982586,636
82,768,864,0.1,0.0003922143077943474,624
186,432,576,0.0,0.0003918604925274849,274
367,12,768,0.2,0.0003898176655638963,275
204,24,240,0.2,0.00038888337439857423,90
365,144,192,0.2,0.00038836535532027483,133
144,384,480,0.1,0.00038796072476543486,297
246,12,624,0.1,0.0003874034446198493,267
163,336,672,0.0,0.00038732681423425674,289
286,528,528,0.0,0.0003855287213809788,309
55,192,48,0.2,0.0003853232483379543,63
130,192,576,0.1,0.00038528977893292904,383
282,24,480,0.1,0.00038485805271193385,144
269,624,528,0.1,0.0003847416664939374,337
40,144,48,0.0,0.00038419157499447465,41
355,12,528,0.0,0.0003840200952254236,253
72,120,288,0.0,0.0003839008277282119,122
251,480,480,0.2,0.0003835851966869086,262
262,24,384,0.2,0.0003826561151072383,120
15,720,48,0.2,0.0003823966544587,66
319,96,624,0.1,0.00038211484206840396,208
281,24,720,0.2,0.0003808224282693118,243
292,12,288,0.2,0.0003808156761806458,152
268,768,384,0.1,0.00037877995055168867,308
112,120,336,0.1,0.0003787389723584056,137
37,12,240,0.1,0.00037841941229999065,137
96,48,12,0.0,0.00037683144910261035,66
384,240,576,0.1,0.00037674306076951325,334
169,672,768,0.1,0.00037672367761842906,505
350,672,48,0.0,0.000376188283553347,102
173,432,120,0.1,0.00037578269257210195,114
210,384,624,0.2,0.000375287898350507,268
135,12,336,0.1,0.00037526601227000356,253
249,72,768,0.2,0.0003749953757505864,302
321,384,864,0.2,0.00037498108576983213,368
125,384,576,0.2,0.00037380075082182884,240
104,72,768,0.1,0.00037347254692576826,223
50,336,12,0.2,0.00037326765595935285,47
290,120,120,0.1,0.00037280493415892124,75
240,48,192,0.2,0.0003724747512023896,116
46,96,864,0.0,0.00037223176332190633,257
375,576,384,0.1,0.00037114840233698487,258
140,24,120,0.0,0.0003709282318595797,63
198,576,336,0.1,0.0003701408568304032,207
21,864,432,0.2,0.0003695131454151,391
237,480,24,0.0,0.00036942155566066504,44
247,480,12,0.1,0.00036923735751770437,34
93,384,192,0.0,0.0003685391566250473,99
201,144,72,0.0,0.00036814314080402255,95
206,576,864,0.2,0.0003681064408738166,484
117,672,864,0.1,0.0003678514331113547,547
16,768,480,0.1,0.0003674792242236,549
76,48,288,0.2,0.00036746106343343854,101
232,720,720,0.2,0.00036571043892763555,913
376,12,768,0.0,0.00036551037919707596,333
20,432,48,0.1,0.0003651097940746,68
351,336,576,0.0,0.00036443534190766513,264
3,192,672,0.0,0.000364076840924,357
244,120,12,0.1,0.0003640177601482719,53
354,480,480,0.1,0.0003639619390014559,287
318,96,288,0.0,0.00036180077586323023,115
203,48,336,0.1,0.0003614345914684236,183
341,120,48,0.0,0.00036141060991212726,54
356,288,72,0.0,0.0003613365115597844,56
115,336,384,0.0,0.00036107178311794996,162
33,528,336,0.0,0.0003607926773838,204
378,624,432,0.2,0.0003607228572946042,307
113,624,192,0.2,0.00035988265881314874,137
193,240,864,0.0,0.0003598530893214047,307
124,432,384,0.0,0.00035962462425231934,185
61,12,528,0.1,0.00035870069405063987,264
266,48,144,0.1,0.0003579768817871809,69
138,72,12,0.2,0.00035720659070648253,53
215,864,96,0.1,0.0003569593245629221,183
343,576,432,0.0,0.0003567799285519868,626
187,576,480,0.2,0.00035671034129336476,415
69,48,432,0.1,0.0003563234640751034,172
64,720,120,0.2,0.0003559421165846288,214
77,624,144,0.2,0.0003551319532562047,161
195,192,336,0.1,0.0003550694091245532,136
65,672,48,0.1,0.00035501629463396966,61
171,384,384,0.2,0.00035458095953799784,255
339,864,12,0.1,0.00035371282137930393,114
335,288,336,0.1,0.000353449780959636,141
374,624,480,0.1,0.0003523874329403043,654
226,96,480,0.1,0.0003520545142237097,168
340,768,720,0.0,0.00035153114004060626,881
382,120,432,0.2,0.00035075299092568457,191
361,12,288,0.0,0.0003500665188767016,173
