,units,n_back,dropout,vloss,sec_elaps
1138,240,48,0.1,0.0007393413106910884,49
134,672,864,0.0,0.0007368923397734761,561
1051,432,192,0.1,0.0006835258682258427,123
1079,336,48,0.2,0.0006830161437392235,52
990,336,768,0.1,0.0006797717069275677,336
752,624,48,0.2,0.0006480197771452367,63
142,768,528,0.1,0.0006426614709198475,407
710,120,624,0.2,0.000582144595682621,182
99,240,480,0.2,0.000567308918107301,181
622,672,48,0.1,0.0005543098086491227,66
951,24,864,0.2,0.0005481732077896595,193
220,12,576,0.0,0.0005390578880906105,174
138,24,72,0.1,0.0005380492657423019,41
1073,24,384,0.0,0.0005378465284593403,106
808,576,624,0.2,0.0005377305787988007,376
967,144,720,0.2,0.0005360346403904259,403
239,720,720,0.0,0.0005324083031155169,567
219,144,96,0.1,0.0005314740701578557,57
802,432,672,0.2,0.0005296399467624724,328
924,336,24,0.2,0.0005277667078189552,40
93,72,192,0.1,0.0005161461303941905,60
284,288,336,0.2,0.0005151911755092442,140
132,96,480,0.0,0.0005138098495081067,119
499,120,480,0.2,0.000511001911945641,136
814,72,12,0.1,0.0005102990544401109,38
473,528,336,0.2,0.0005086855962872505,210
418,480,768,0.2,0.0005084738368168473,399
718,72,672,0.1,0.0005082591669633985,166
1028,864,240,0.2,0.0005080968257971108,362
1132,768,384,0.2,0.0005078764515928924,332
312,72,144,0.0,0.0005048994207754731,51
389,864,120,0.1,0.0005040977266617119,140
1078,240,96,0.0,0.0005036356742493808,64
557,576,768,0.1,0.0004994707996957004,446
492,48,768,0.1,0.0004960679216310382,164
430,288,240,0.0,0.0004960160586051643,113
1010,96,96,0.0,0.0004922754014842212,49
1067,12,576,0.2,0.0004881216154899448,202
352,528,480,0.2,0.00048789483844302595,285
875,192,288,0.0,0.0004850380355492234,129
149,96,480,0.1,0.00048383953981101513,118
664,528,48,0.1,0.00048119196435436606,57
22,288,120,0.0,0.00048063258873298764,65
1142,240,672,0.0,0.00048013776540756226,279
148,96,24,0.2,0.0004800964379683137,36
316,12,12,0.0,0.0004775690904352814,78
218,528,240,0.0,0.0004766179190482944,254
319,864,672,0.1,0.00047492372686974704,590
678,120,288,0.1,0.000474686297820881,99
761,432,864,0.1,0.0004735593101941049,593
878,720,672,0.2,0.00047299277503043413,728
34,576,432,0.2,0.00047255909885279834,257
699,624,192,0.1,0.00046893005492165685,150
719,768,528,0.2,0.00046832309453748167,422
1076,624,864,0.1,0.00046787000610493124,562
700,120,576,0.0,0.000467640784336254,229
1101,240,528,0.0,0.0004636634257622063,228
1080,864,72,0.1,0.00046300856047309935,109
769,96,12,0.2,0.0004599086241796613,36
650,48,672,0.2,0.00045849953312426805,213
1041,48,48,0.2,0.0004568791773635894,49
488,576,24,0.0,0.00045542031875811517,45
157,144,12,0.2,0.0004542989772744477,34
681,624,120,0.2,0.0004536445194389671,154
819,12,120,0.0,0.0004510306753218174,88
455,288,192,0.2,0.00045094400411471725,92
7,24,768,0.2,0.0004506711266003549,214
57,144,24,0.0,0.0004488608392421156,38
1021,96,144,0.0,0.00044864663504995406,65
1069,120,384,0.2,0.0004480050702113658,136
543,48,384,0.0,0.00044745797640644014,97
882,96,864,0.1,0.0004474235756788403,227
895,96,624,0.2,0.0004471638530958444,166
44,576,192,0.1,0.0004459625924937427,131
1090,120,288,0.0,0.0004458141920622438,111
306,288,240,0.1,0.0004448029212653637,110
95,120,528,0.1,0.0004446905222721398,139
462,480,336,0.2,0.0004446700622793287,194
889,432,720,0.1,0.0004437500028871,364
24,144,384,0.2,0.000443460390670225,138
806,720,192,0.2,0.000441388925537467,171
28,192,24,0.2,0.00044124721898697317,36
393,72,864,0.1,0.00043895348790101707,193
874,24,240,0.2,0.0004387510125525296,98
812,384,96,0.2,0.00043849789653904736,67
916,12,336,0.2,0.00043818389531224966,183
902,24,48,0.2,0.0004381494945846498,61
