,units,n_back,dropout,vloss,sec_elaps
188,624,336,0.2,0.0030797335784882307,220
142,480,432,0.1,0.002367140958085656,231
268,432,480,0.2,0.0023601690772920847,228
3,384,336,0.2,0.0021774813067167997,154
143,12,432,0.2,0.00214117462746799,88
39,288,24,0.0,0.0021308986470103264,36
131,768,72,0.0,0.0021181798074394464,87
246,240,624,0.2,0.0020632154773920774,217
107,720,480,0.1,0.0020616387482732534,354
14,720,96,0.0,0.002021907130256295,99
146,864,528,0.1,0.001993839628994465,683
92,384,624,0.1,0.0019857599399983883,384
22,720,96,0.1,0.0019798134453594685,146
297,720,192,0.0,0.0019611690659075975,159
78,672,672,0.0,0.0019563406240195036,449
163,192,192,0.0,0.001955281011760235,85
160,576,120,0.1,0.0019485525554046035,92
139,72,672,0.0,0.001934763859026134,144
170,120,624,0.1,0.0019336880650371313,222
156,528,288,0.1,0.0019258217653259635,174
196,288,864,0.1,0.0019229867029935122,304
122,768,480,0.0,0.0019221830880269408,376
302,432,144,0.0,0.0019203657284379005,90
83,288,192,0.2,0.0019203583942726254,130
222,336,624,0.2,0.0019095628522336483,249
290,12,528,0.0,0.0019092775182798505,150
133,864,672,0.2,0.0019048639805987477,866
251,768,240,0.0,0.0018958501750603318,297
214,864,120,0.1,0.0018907769117504358,135
134,624,624,0.0,0.0018819199176505208,574
30,144,528,0.1,0.0018727837596088648,176
209,192,768,0.1,0.0018699037609621882,257
124,12,528,0.2,0.0018688193522393703,143
9,24,624,0.1,0.0018639150075614452,117
119,768,624,0.0,0.0018541357712820172,476
283,120,720,0.1,0.0018452509539201856,178
13,864,48,0.1,0.0018390679033473134,77
4,432,240,0.2,0.001838889205828309,127
102,768,864,0.0,0.001834703958593309,641
248,480,768,0.1,0.0018337261863052845,387
193,672,144,0.2,0.0018325075507164001,121
233,624,624,0.2,0.0018322987016290426,562
108,24,24,0.2,0.0018285512924194336,37
186,864,576,0.1,0.0018235587049275637,501
235,768,624,0.2,0.0018212675349786878,467
72,72,624,0.0,0.0018201599596068263,137
125,720,624,0.0,0.0018173323478549719,448
228,384,192,0.0,0.0018170902039855719,100
216,624,240,0.2,0.001815165625885129,167
180,768,240,0.1,0.0018142228946089745,201
269,480,720,0.2,0.0018120950553566217,398
257,432,120,0.0,0.0018117553554475307,77
177,24,240,0.2,0.001810450223274529,62
300,624,384,0.2,0.0018075222615152597,365
16,768,480,0.2,0.0018050242215394974,715
202,384,720,0.2,0.0018044315511360765,300
49,144,624,0.1,0.0018029388738796115,289
295,384,864,0.1,0.0018017496913671494,349
109,288,768,0.0,0.0017997046234086156,399
243,288,432,0.0,0.0017978028627112508,168
195,624,384,0.0,0.0017964611761271954,247
256,576,12,0.1,0.0017951395129784942,36
84,432,864,0.1,0.0017925420543178916,569
226,24,240,0.1,0.0017914465861395001,61
29,12,384,0.0,0.001791088841855526,112
240,432,72,0.2,0.0017901015235111117,56
292,12,672,0.1,0.0017891175812110305,179
18,96,384,0.2,0.0017872587777674198,95
64,528,768,0.0,0.0017868424765765667,625
73,864,480,0.0,0.0017868168652057648,435
113,672,120,0.0,0.0017852006712928414,109
154,432,48,0.1,0.0017849996220320463,65
210,720,768,0.0,0.0017825160175561905,532
44,48,120,0.0,0.0017817785264924169,43
8,624,768,0.2,0.0017801962094381452,465
252,432,384,0.0,0.001779911108314991,189
153,240,48,0.0,0.0017794889863580465,57
258,864,336,0.2,0.0017792928265407681,457
55,768,384,0.0,0.0017766496166586876,453
136,768,672,0.0,0.0017762144561856985,500
24,432,240,0.1,0.001775854267179966,127
164,672,624,0.0,0.001772424322552979,410
165,432,672,0.1,0.0017696861177682877,306
47,384,672,0.0,0.0017677714349702,409
52,720,144,0.2,0.0017676828429102898,130
278,672,192,0.1,0.0017639960860833526,292
145,12,864,0.1,0.0017637425335124135,269
23,144,48,0.2,0.0017631541704759002,39
274,720,672,0.0,0.0017630254151299596,473
45,336,624,0.0,0.0017620996804907918,479
118,192,432,0.2,0.001760273240506649,230
191,768,96,0.2,0.0017590834759175777,157
262,240,672,0.0,0.0017583015142008662,235
149,576,624,0.0,0.0017582176951691508,353
11,96,48,0.0,0.0017576746176928282,33
61,192,12,0.0,0.0017566672759130597,34
94,480,240,0.2,0.0017564980080351233,146
265,528,336,0.0,0.0017563621513545513,297
169,672,576,0.0,0.0017555097583681345,560
86,288,240,0.1,0.0017543327994644642,106
225,384,96,0.2,0.0017537935636937618,87
211,12,12,0.2,0.0017515140352770686,53
10,576,624,0.1,0.0017511681653559208,358
12,768,864,0.2,0.0017507191514596343,1236
237,192,144,0.1,0.0017506906297057867,71
88,624,528,0.1,0.0017492503393441439,494
56,120,72,0.2,0.0017484646523371339,40
96,672,768,0.2,0.0017476831562817097,984
277,624,12,0.1,0.0017471049213781953,39
46,576,24,0.0,0.0017460101516917348,62
111,384,720,0.1,0.001744088833220303,450
89,336,48,0.2,0.001743605243973434,43
5,120,48,0.2,0.0017435606569051743,54
50,480,144,0.2,0.0017425925470888615,144
85,384,192,0.1,0.0017413077875971794,149
138,288,72,0.1,0.0017388220876455307,48
69,12,24,0.2,0.0017383424565196037,57
264,480,24,0.2,0.0017369267297908664,38
270,384,48,0.0,0.0017362268408760428,63
98,672,432,0.2,0.0017349007539451122,446
63,624,864,0.1,0.0017332494026049972,774
58,624,48,0.2,0.0017331662820652127,87
291,480,576,0.2,0.0017325113294646144,458
6,624,576,0.0,0.0017323067877441645,526
234,864,72,0.2,0.0017317759338766336,97
241,528,624,0.2,0.001730509684421122,511
231,240,768,0.1,0.0017281569307669997,261
140,72,144,0.1,0.0017279076855629683,50
192,144,576,0.1,0.0017278409795835614,187
104,672,864,0.1,0.0017274032579734921,830
242,288,144,0.2,0.001725657726638019,107
247,192,240,0.0,0.0017255147686228156,149
205,576,48,0.0,0.0017249832162633538,56
221,768,528,0.0,0.0017226714408025146,779
126,384,144,0.2,0.0017214039107784629,83
