,units,n_back,n_dense,dropout,vloss
0,48.0,384.0,24.0,0.0,0.007753902114927769
1,96.0,384.0,24.0,0.2,0.008709997870028019
2,288.0,192.0,24.0,0.2,0.007831530645489693
3,96.0,192.0,24.0,0.1,0.0075244721956551075
4,72.0,432.0,24.0,0.2,0.009161082096397877
5,240.0,240.0,24.0,0.0,0.009044313803315163
6,480.0,240.0,24.0,0.2,0.00827239640057087
7,288.0,120.0,24.0,0.0,0.008215101435780525
8,240.0,96.0,24.0,0.2,0.007935011759400368
9,240.0,24.0,24.0,0.1,0.008446822874248028
10,72.0,240.0,24.0,0.2,0.009022464975714684
11,120.0,336.0,24.0,0.0,0.008540092967450619
12,48.0,288.0,24.0,0.1,0.008487855084240437
13,240.0,288.0,24.0,0.1,0.008564005605876446
14,72.0,72.0,24.0,0.0,0.008787962608039379
15,240.0,240.0,24.0,0.2,0.008845885284245014
16,336.0,72.0,24.0,0.0,0.00816594809293747
17,240.0,288.0,24.0,0.0,0.009161693975329399
18,384.0,96.0,24.0,0.0,0.008182602003216743
19,96.0,336.0,24.0,0.0,0.008136268705129623
20,336.0,96.0,24.0,0.1,0.008152885362505913
21,24.0,48.0,24.0,0.1,0.00848974660038948
22,96.0,384.0,24.0,0.1,0.009012148715555668
23,192.0,96.0,24.0,0.1,0.008204835467040539
24,96.0,72.0,24.0,0.2,0.008550175465643406
25,432.0,24.0,24.0,0.0,0.008351709693670273
26,96.0,48.0,24.0,0.2,0.008576779626309872
27,432.0,24.0,24.0,0.2,0.008963732980191708
28,72.0,48.0,24.0,0.2,0.00854314211755991
29,288.0,384.0,24.0,0.1,0.00896856002509594
30,288.0,336.0,24.0,0.0,0.008609077893197536
31,48.0,480.0,24.0,0.0,0.008102590218186378
32,96.0,336.0,24.0,0.2,0.009677824564278126
33,384.0,72.0,24.0,0.0,0.008751844055950642
34,24.0,72.0,24.0,0.2,0.0084496159106493
35,72.0,336.0,24.0,0.2,0.009370340965688229
36,432.0,336.0,24.0,0.0,0.008301019668579102
37,432.0,192.0,24.0,0.0,0.00914773065596819
