,units,n_back,dropout,vloss,sec_elaps
178,528,12,0.2,0.018827199935913086,20
554,12,144,0.2,0.018571434542536736,20
36,12,384,0.0,0.0183720868080854,32
287,432,12,0.0,0.017678644508123398,17
38,12,12,0.1,0.0174075756222009,32
542,864,48,0.0,0.017237383872270584,41
177,384,48,0.2,0.017132235690951347,22
362,12,48,0.1,0.017078349366784096,33
181,12,192,0.1,0.01703791506588459,30
537,480,12,0.0,0.01702646166086197,18
498,72,24,0.2,0.0169889647513628,16
200,48,96,0.0,0.016949905082583427,17
206,24,672,0.2,0.0168566033244133,45
359,12,192,0.0,0.016829881817102432,29
0,384,192,0.1,0.0168236978352069,46
497,336,96,0.2,0.016767514869570732,27
543,480,120,0.0,0.016715526580810547,38
136,12,12,0.0,0.016697755083441734,31
366,624,192,0.0,0.016690053045749664,56
597,432,48,0.1,0.01668836735188961,33
1,12,24,0.1,0.0165972616523504,32
165,768,12,0.2,0.016582371667027473,48
319,672,240,0.2,0.016580821946263313,74
192,432,120,0.2,0.01657147705554962,33
353,768,24,0.2,0.01655486784875393,29
443,336,96,0.0,0.016480956226587296,27
46,24,12,0.0,0.016459796577692,31
261,72,24,0.0,0.01634766161441803,16
23,768,120,0.0,0.016336103901267,52
581,48,12,0.0,0.0162949375808239,21
43,864,768,0.2,0.0162891112267971,233
603,12,624,0.2,0.016273410990834236,90
155,144,72,0.2,0.01627291738986969,20
365,480,12,0.2,0.016264718025922775,18
488,672,12,0.1,0.016243863850831985,34
86,768,12,0.1,0.0162262395024299,37
239,120,48,0.0,0.01619795151054859,23
487,528,12,0.1,0.016158685088157654,35
243,336,24,0.2,0.01613738387823105,25
88,384,144,0.1,0.0161278378218412,35
493,336,120,0.0,0.016109785065054893,30
164,240,480,0.0,0.016106605529785156,61
219,336,12,0.2,0.016101229935884476,22
459,72,48,0.1,0.016053324565291405,23
513,336,192,0.1,0.016047785058617592,38
45,240,72,0.1,0.0160450786352157,23
407,432,384,0.2,0.016036154702305794,70
151,672,144,0.0,0.016033601015806198,51
413,768,48,0.2,0.016031118109822273,50
311,336,48,0.1,0.016024019569158554,20
209,192,24,0.0,0.01601860113441944,17
87,432,288,0.2,0.0159912686794996,57
330,480,384,0.2,0.015957994386553764,77
33,672,384,0.0,0.0159541219472885,99
394,120,480,0.0,0.015938881784677505,47
91,384,72,0.2,0.0159268919378519,47
