,units,n_back,dropout,vloss,sec_elaps
70,432,48,0.1,0.012280677445232868,178
83,384,48,0.1,0.01218658871948719,155
16,336,48,0.0,0.012173306196928024,135
28,48,96,0.0,0.012140543200075626,40
92,288,864,0.0,0.01202433742582798,356
55,288,48,0.2,0.012024256400763988,96
86,12,12,0.0,0.011998633854091167,24
84,48,24,0.1,0.01196281611919403,33
96,720,12,0.0,0.011950516141951084,107
21,336,24,0.1,0.01193277072161436,84
26,528,12,0.1,0.011913959868252277,90
78,480,24,0.1,0.011875559575855732,145
67,624,24,0.0,0.011866413988173008,186
31,336,12,0.0,0.011858304031193256,52
80,72,12,0.1,0.011853974312543869,15
10,144,24,0.2,0.011841087602078915,41
47,144,12,0.0,0.011835988610982895,23
48,576,24,0.1,0.011820975691080093,175
18,624,24,0.1,0.011820310726761818,174
7,288,12,0.0,0.0118170864880085,41
69,72,144,0.1,0.011671502143144608,58
87,720,144,0.2,0.011518251150846481,626
50,576,144,0.2,0.01145132351666689,347
60,384,144,0.2,0.011427799239754677,222
52,672,144,0.2,0.011418165639042854,463
33,288,144,0.2,0.011391974985599518,155
40,576,144,0.0,0.01134247425943613,568
89,48,120,0.2,0.011340237222611904,52
43,480,144,0.0,0.011293018236756325,381
42,120,96,0.2,0.01123647391796112,51
19,288,192,0.1,0.011214770376682281,171
82,864,72,0.2,0.011149197816848755,763
6,720,120,0.2,0.011091895401477814,451
29,576,96,0.1,0.01107627060264349,336
75,96,192,0.1,0.011073436588048935,100
37,480,96,0.0,0.011073078960180283,245
1,480,120,0.0,0.011036358773708344,222
13,336,120,0.1,0.011023403145372868,156
17,624,96,0.2,0.011019422672688961,330
45,72,120,0.0,0.011014888063073158,86
79,432,72,0.0,0.011000783182680607,263
27,528,96,0.0,0.01099893357604742,395
35,768,120,0.2,0.010991797782480717,719
59,576,192,0.0,0.010974027216434479,507
57,144,96,0.2,0.01094501931220293,81
90,192,72,0.0,0.010893348604440689,112
72,480,192,0.1,0.010884261690080166,540
88,576,192,0.2,0.010777815245091915,843
41,72,240,0.0,0.010630440898239613,89
95,720,240,0.1,0.010375269688665867,686
12,720,288,0.0,0.010136974044144154,891
91,12,288,0.2,0.010001369751989841,121
56,864,288,0.1,0.010000399313867092,983
81,432,288,0.1,0.009894940070807934,764
94,672,672,0.0,0.009891602210700512,989
5,672,288,0.2,0.009868079796433449,1046
73,720,672,0.2,0.009839843958616257,1111
54,48,288,0.1,0.00979987159371376,131
61,576,768,0.1,0.009783262386918068,856
93,720,672,0.0,0.009772112593054771,934
77,288,672,0.2,0.009757580235600471,256
0,720,672,0.1,0.009740166366100311,1088
30,96,672,0.0,0.009683558717370033,136
32,288,768,0.1,0.009644685313105583,302
66,120,768,0.2,0.00964102242141962,148
20,48,672,0.0,0.00958884134888649,94
25,96,768,0.0,0.009573818184435368,133
38,624,288,0.2,0.00957096740603447,792
14,480,720,0.0,0.00896509364247322,657
62,336,720,0.0,0.008921059779822826,365
76,96,720,0.1,0.00890869926661253,131
22,240,720,0.2,0.008856247179210186,327
36,120,336,0.1,0.008839905261993408,151
2,672,720,0.1,0.0088086798787117,889
64,480,336,0.2,0.008793533779680729,929
8,480,432,0.0,0.008464779704809189,581
24,72,624,0.0,0.008464555256068707,133
68,864,624,0.1,0.00844199862331152,1397
65,768,432,0.2,0.008387496694922447,1473
53,72,624,0.2,0.008290787227451801,126
51,96,432,0.0,0.008288142271339893,148
34,672,624,0.2,0.008287188597023487,1393
9,336,624,0.2,0.008264416828751564,487
71,384,480,0.0,0.008136792108416557,394
11,192,480,0.1,0.008007604628801346,356
15,624,480,0.0,0.007997769862413406,1523
49,24,480,0.2,0.007934869267046452,185
46,120,480,0.0,0.007844624109566212,333
63,72,480,0.0,0.007795834913849831,202
39,288,384,0.1,0.0077270688489079475,385
58,240,384,0.2,0.007710820063948631,482
4,72,384,0.2,0.007620518561452627,198
44,624,528,0.1,0.007590706925839186,1135
23,72,528,0.0,0.0075876167975366116,184
85,192,384,0.2,0.007575011346489191,264
3,72,528,0.2,0.007509149145334959,199
74,384,528,0.1,0.007497882470488548,707
