,units,n_back,dropout,vloss,sec_elaps
484,24,528,0.0,0.0013253209181129932,38
313,24,480,0.1,0.0012758420780301094,35
178,624,120,0.2,0.001255000475794077,36
611,12,48,0.0,0.0011680939933285117,23
606,24,24,0.2,0.0011608729837462306,16
524,24,336,0.0,0.0011557807447388768,41
501,48,24,0.0,0.0010902670910581946,14
578,768,288,0.0,0.0010818656301125884,87
375,48,528,0.1,0.001076453016139567,39
205,12,96,0.0,0.0010726515902206302,22
668,24,72,0.0,0.0010426543885841966,26
150,576,864,0.1,0.0010193649213761091,162
353,144,24,0.1,0.001015925663523376,15
647,72,864,0.1,0.0009854306699708104,68
777,768,288,0.1,0.0009674711618572474,140
551,336,24,0.1,0.0009660557261668146,15
282,48,192,0.0,0.0009609887492842972,20
7,768,192,0.1,0.0009532746043987572,61
391,864,336,0.1,0.0009445514297112823,159
485,768,24,0.0,0.0009434808744117618,20
810,24,96,0.1,0.000940213561989367,26
403,576,624,0.0,0.0009393185027875006,126
41,48,240,0.2,0.0009390304912813008,22
795,48,72,0.1,0.0009340507676824927,18
52,12,864,0.0,0.0009321804973296821,70
811,576,864,0.2,0.0009299575467593968,172
133,336,48,0.2,0.0009297580108977854,16
451,720,288,0.0,0.0009296302450820804,78
400,144,336,0.0,0.0009285183041356504,43
405,12,48,0.1,0.0009216603939421475,30
236,720,48,0.0,0.0009179143235087395,35
757,96,288,0.2,0.0009121077018789947,35
283,120,720,0.1,0.0009099385933950543,86
734,96,480,0.0,0.0009087679791264236,63
613,528,144,0.0,0.0009084395132958889,38
346,72,624,0.2,0.0008963242871686816,48
497,720,192,0.2,0.0008961990824900568,58
256,432,720,0.2,0.0008961167186498642,110
226,432,144,0.0,0.0008930213516578078,31
536,12,192,0.1,0.0008921675616875291,38
198,240,12,0.1,0.0008911400800570846,18
374,192,12,0.1,0.0008896240033209324,19
250,240,96,0.0,0.000888599781319499,20
533,72,120,0.0,0.0008828892605379224,27
81,864,336,0.2,0.000878885795827955,107
118,720,96,0.0,0.0008748624823056161,37
704,120,720,0.2,0.0008736186427995563,99
15,120,192,0.1,0.0008714374271221459,24
586,768,624,0.1,0.0008688429370522499,168
385,144,48,0.1,0.0008663275511935353,16
489,720,144,0.1,0.0008656453574076295,46
725,48,144,0.2,0.0008654016419313848,38
131,24,120,0.1,0.0008595119579695165,23
430,240,288,0.2,0.0008587297634221613,41
297,72,24,0.2,0.0008570368518121541,21
305,96,96,0.1,0.0008550002821721137,23
211,384,144,0.2,0.0008533906657248735,29
646,288,720,0.1,0.0008522559655830264,101
138,624,120,0.1,0.0008500560652464628,36
