,units,n_back,dropout,vloss,sec_elaps
185,336,384,0.1,0.008029937744140625,59
11,12,624,0.0,0.007840007543563843,42
111,72,768,0.2,0.0073106372728943825,58
186,480,432,0.2,0.007204378955066204,81
127,720,144,0.0,0.007105863653123379,46
72,528,384,0.0,0.0070834411308169365,79
172,624,672,0.2,0.006991036701947451,139
193,480,336,0.2,0.006920143496245146,67
107,864,144,0.1,0.006881877314299345,56
59,864,288,0.1,0.006869793403893709,95
96,720,432,0.0,0.0068203783594071865,109
79,24,576,0.2,0.006813074927777052,41
57,336,672,0.2,0.006595214828848839,91
50,480,864,0.2,0.006575406529009342,145
141,768,48,0.0,0.006557800341397524,26
139,48,192,0.1,0.006548985373228788,20
16,480,384,0.2,0.006544125732034445,74
176,72,528,0.1,0.006536401808261871,43
30,12,672,0.1,0.00652149086818099,63
190,384,144,0.2,0.006465953774750233,44
39,336,96,0.1,0.0064536496065557,23
34,48,480,0.2,0.00645059160888195,38
205,672,240,0.2,0.0064148977398872375,64
27,768,48,0.2,0.006404085550457239,26
112,432,12,0.0,0.0063865468837320805,18
159,336,240,0.2,0.006383541505783796,41
109,24,24,0.0,0.006369035691022873,15
165,720,72,0.1,0.006363942753523588,43
214,576,240,0.2,0.006349820178002119,56
163,336,384,0.2,0.006347168702632189,57
169,144,480,0.0,0.006346930284053087,58
194,768,720,0.1,0.006338158156722784,182
81,336,96,0.2,0.006320064887404442,23
62,480,12,0.2,0.006305941846221685,19
196,24,432,0.0,0.00628827977925539,47
128,24,144,0.2,0.006286050658673048,27
200,672,240,0.0,0.006276601925492287,63
160,96,384,0.2,0.00627562589943409,36
68,192,576,0.1,0.0062749809585511684,70
210,480,144,0.1,0.0062693445943295956,36
13,432,384,0.2,0.006265867035835981,67
146,336,192,0.0,0.0062544699758291245,36
36,768,864,0.2,0.006249283440411091,314
166,864,720,0.0,0.006235988344997168,210
171,144,192,0.0,0.006221000570803881,30
153,192,480,0.0,0.006213754415512085,62
144,624,12,0.0,0.00620616739615798,21
213,768,672,0.0,0.006200937554240227,171
122,768,624,0.2,0.006200149189680815,159
78,768,48,0.1,0.00619132025167346,26
188,672,12,0.0,0.006185039412230253,16
71,144,24,0.0,0.006184026598930359,15
87,672,48,0.0,0.006174534559249878,33
93,528,768,0.0,0.006172080058604479,208
201,240,720,0.0,0.006145683582872152,87
43,672,336,0.0,0.006138236727565527,121
9,864,384,0.0,0.006132791750133038,120
117,576,288,0.1,0.006132627837359905,64
28,624,576,0.0,0.006130654830485582,121
168,720,576,0.0,0.006125305779278278,205
179,528,72,0.2,0.0061182561330497265,35
157,192,768,0.0,0.006113933864980936,89
99,384,48,0.1,0.006107761990278959,17
86,432,480,0.2,0.006104668136686087,78
175,768,144,0.2,0.006099153775721788,49
22,144,384,0.2,0.006098208017647266,49
116,720,288,0.0,0.006085189059376717,77
151,144,528,0.1,0.006078904494643211,63
55,480,768,0.2,0.0060646734200417995,192
150,12,480,0.0,0.006049630232155323,80
101,672,672,0.1,0.006036029662936926,221
126,720,192,0.2,0.006023002322763205,82
91,768,240,0.2,0.006019239779561758,104
53,384,720,0.1,0.006016201339662075,147
2,480,120,0.2,0.006015419960021973,47
75,12,120,0.1,0.006011187098920345,40
89,672,480,0.2,0.006008577067404985,112
7,624,720,0.2,0.006005739327520132,147
63,336,864,0.2,0.005992804653942585,215
29,576,576,0.1,0.005991839338093996,165
5,120,720,0.2,0.0059915329329669476,62
130,48,288,0.0,0.005984936840832233,37
204,576,672,0.2,0.0059824236668646336,130
23,240,12,0.2,0.005971855949610472,24
203,384,144,0.0,0.005967345554381609,44
199,120,768,0.2,0.0059670028276741505,95
84,480,24,0.2,0.005962966941297054,21
108,576,720,0.1,0.005952680017799139,138
137,528,576,0.2,0.005948495585471392,111
105,576,72,0.0,0.005944277159869671,35
26,384,120,0.1,0.005942704621702433,39
138,480,288,0.2,0.0059398747980594635,83
148,96,12,0.0,0.005918881855905056,17
149,624,528,0.0,0.005917971022427082,166
14,768,120,0.2,0.005915921181440353,62
54,384,96,0.1,0.005897267255932093,45
121,192,384,0.2,0.0058930404484272,74
47,576,72,0.1,0.005892845336347818,35
167,624,864,0.1,0.0058867791667580605,419
212,192,240,0.0,0.005883940029889345,53
83,768,24,0.2,0.005876726005226374,29
118,288,432,0.1,0.005869224201887846,87
25,720,528,0.2,0.005850775633007288,189
114,576,48,0.1,0.005847266875207424,38
142,432,528,0.0,0.005838196724653244,161
45,720,864,0.1,0.005825402215123177,295
67,720,120,0.0,0.005804645363241434,58
131,864,768,0.0,0.005801921710371971,433
18,864,432,0.1,0.005798953585326672,195
6,864,672,0.1,0.005791534669697285,387
21,672,72,0.2,0.005781011655926704,53
113,528,528,0.0,0.005771868396550417,150
0,672,192,0.0,0.005771439056843519,135
197,144,96,0.2,0.005761204287409782,30
38,72,192,0.1,0.005760902538895607,32
44,768,336,0.1,0.005755635444074869,137
164,144,432,0.1,0.005751413758844137,77
3,528,672,0.1,0.005751206073909998,252
94,432,624,0.1,0.005750405602157116,145
48,432,120,0.2,0.0057483455166220665,52
100,528,528,0.1,0.005747554823756218,199
92,384,480,0.0,0.0057412260212004185,107
73,528,192,0.0,0.005735564045608044,66
136,240,624,0.2,0.0057348208501935005,110
189,72,48,0.0,0.005733150988817215,22
41,720,12,0.0,0.0057306415401399136,42
12,192,192,0.1,0.005726675968617201,46
183,336,864,0.0,0.005707613658159971,217
4,192,768,0.2,0.005704098846763372,132
209,528,240,0.0,0.005692384671419859,78
76,480,336,0.1,0.005684121511876583,96
56,720,528,0.1,0.005677333101630211,189
